id	name	population
AFG	Afghanistan	12.5
ALB	Albania	11.4
DZA	Algeria	23.1
198	Andorra	8.7
AGO	Angola	21.6
221	Anguilla	25.7
197	Antigua and Barbuda	26.2
ARG	Argentina	15.4
ARM	Armenia	8.2
225	"Saint Helena, Ascension, and Tristan da Cunha"	25.7
AUS	Australia	21.6
AUT	Austria	7.3
AZE	Azerbaijan	12.9
BHS	"Bahamas, The"	25.2
163	Bahrain	26.6
BGD	Bangladesh	25.2
180	Barbados	26.6
197	Antigua and Barbuda	26.3
BLR	Belarus	8.3
BEL	Belgium	10.9
BLZ	Belize	25.8
BEN	Benin	27.6
201	Bermuda	22.7
BTN	Bhutan	7.5
BOL	Bolivia	21.1
BWA	Botswana	21.5
BRA	Brazil	24.8
BRN	Brunei	26.9
BGR	Bulgaria	10.8
BFA	Burkina Faso	28.2
BDI	Burundi	19.5
KHM	Cambodia	27.1
CMR	Cameroon	24.5
CAN	Canada	-5.6
CAF	Central African Republic	24.7
TCD	Chad	26.1
CHL	Chile	8.7
CHN	China	7.3
232	Christmas Island	25.8
COL	Colombia	24.1
160	Comoros	25.4
COD	"Congo, Democratic Republic of the"	24.6
COG	"Congo, Republic of the"	24.6
223	Cook Islands	25.1
CRI	Costa Rica	24.7
HRV	Croatia	11.3
CUB	Cuba	25.6
CYP	Cyprus	17.9
CZE	Czech Republic	8.7
DNK	Denmark	9.1
DJI	Djibouti	28.2
DOM	Dominican Republic	22.8
DOM	Dominica	22.8
DOM	Dominican Republic	24.5
ECU	Ecuador	21.8
EGY	Egypt	22.1
SLV	El Salvador	24.6
GNQ	Equatorial Guinea	24.7
ERI	Eritrea	25.6
EST	Estonia	7.2
ETH	Ethiopia	21.9
FLK	Falkland Islands (Islas Malvinas)	7.1
FJI	Fiji	24.5
FIN	Finland	3.9
FRA	France	11.9
GAB	Gabon	25.1
GMB	"Gambia, The"	27.6
GEO	Georgia	6.1
DEU	Germany	9.9
GHA	Ghana	27.5
214	Gibraltar	18.4
GRC	Greece	15.2
GRL	Greenland	-17.0
190	Grenada	27.0
GTM	Guatemala	23.6
GIN	Guinea	25.7
PNG	Papua New Guinea	25.7
GNB	Guinea-Bissau	25.7
GNQ	Equatorial Guinea	25.7
GUY	Guyana	26.1
HTI	Haiti	25.1
HND	Honduras	23.9
HKG	Hong Kong	22.7
HUN	Hungary	10.6
ISL	Iceland	1.6
IND	India	23.6
IDN	Indonesia	26.1
IRN	Iran	17.1
IRQ	Iraq	21.4
IRL	Ireland	10.0
ISR	Israel	19.2
ITA	Italy	13.7
JAM	Jamaica	24.9
JPN	Japan	11.9
JOR	Jordan	18.3
KAZ	Kazakhstan	7.2
KEN	Kenya	24.5
194	Kiribati	28.3
KWT	Kuwait	25.5
KGZ	Kyrgyzstan	1.2
LAO	Laos	22.8
LVA	Latvia	7.8
LBN	Lebanon	16.4
LSO	Lesotho	11.6
LBR	Liberia	25.5
LBY	Libya	21.9
210	Liechtenstein	6.6
LTU	Lithuania	8.2
LUX	Luxembourg	10.1
168	Macau	22.9
MKD	Macedonia	9.7
MDG	Madagascar	22.6
MWI	Malawi	21.9
MYS	Malaysia	25.6
174	Maldives	27.9
MLI	Mali	28.4
173	Malta	19.7
203	Marshall Islands	27.5
MRT	Mauritania	27.9
153	Mauritius	22.5
MEX	Mexico	21.3
212	Monaco	14.2
MNG	Mongolia	0.4
228	Montserrat	25.3
MAR	Morocco	17.6
MOZ	Mozambique	23.9
NAM	Namibia	20.2
222	Nauru	27.9
NPL	Nepal	8.1
NLD	Netherlands	10.6
183	Netherlands Antilles	10.6
NCL	New Caledonia	22.5
NZL	New Zealand	11.1
NIC	Nicaragua	25.0
NGA	Nigeria	26.7
NER	Niger	26.7
NGA	Nigeria	26.5
234	Niue	24.7
230	Norfolk Island	19.1
NOR	Norway	3.0
OMN	Oman	25.5
PAK	Pakistan	19.8
PAN	Panama	25.4
PNG	Papua New Guinea	25.6
PRY	Paraguay	23.0
PER	Peru	19.2
PHL	Philippines	26.2
POL	Poland	9.3
PRT	Portugal	16.2
QAT	Qatar	27.0
ROU	Romania	9.5
RUS	Russia	-3.9
RWA	Rwanda	17.5
185	Samoa	26.7
202	American Samoa	26.7
211	San Marino	11.9
SAU	Saudi Arabia	24.7
SEN	Senegal	27.9
196	Seychelles	27.1
SLE	Sierra Leone	26.1
SGP	Singapore	26.7
SVK	Slovakia	7.7
SVN	Slovenia	9.5
SLB	Solomon Islands	26.0
SOM	Somalia	27.0
ZAF	South Africa	17.7
ESP	Spain	14.5
LKA	Sri Lanka	27.1
SDN	Sudan	26.7
SDS	South Sudan	26.7
SUR	Suriname	25.8
231	Svalbard	-8.1
SWZ	Swaziland	21.8
SWE	Sweden	4.0
CHE	Switzerland	6.5
SYR	Syria	18.1
TJK	Tajikistan	1.4
TZA	Tanzania	22.2
THA	Thailand	26.2
TGO	Togo	27.5
188	Tonga	25.5
TTO	Trinidad and Tobago	26.4
225	"Saint Helena, Ascension, and Tristan da Cunha"	13.5
TUN	Tunisia	19.9
TUR	Turkey	11.2
TKM	Turkmenistan	15.7
224	Tuvalu	28.0
UGA	Uganda	22.7
UKR	Ukraine	9.9
ARE	United Arab Emirates	26.8
GBR	United Kingdom	9.3
URY	Uruguay	17.9
USA	United States	8.5
UZB	Uzbekistan	12.5
VEN	Venezuela	24.9
VNM	Vietnam	24.6
189	Virgin Islands	25.7
215	British Virgin Islands	25.7
ESH	Western Sahara	23.7
YEM	Yemen	23.9
ZMB	Zambia	21.5
ZWE	Zimbabwe	21.0
